row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Links
369348,usrn44103966,BLAIR AVENUE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217335', 'osgb4000000009217338', 'osgb5000005185202848']"
369349,usrn44103970,TAYLOR GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217598']
369350,usrn44103977,HEATH GARDENS,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009221013', 'osgb4000000009221014']"
369499,usrn44120704,BETHANY MEWS,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009527076']
369501,usrn44120730,HARBROOK GROVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215552', 'osgb4000000009527009', 'osgb4000000009527090']"
369508,usrn44120766,POOLBANK CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009527017', 'osgb4000000009527149', 'osgb4000000009527150']"
562418,usrn44122089,HINDLEY ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb5000005223876142']
664802,usrn44101082,EAST STREET,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217579']
664820,usrn44101521,HARRISON STREET,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217313', 'osgb5000005181124386']"
664893,usrn44103305,THOMAS STREET,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215560', 'osgb4000000009215627', 'osgb4000000009217149', 'osgb4000000009217312', 'osgb4000000009713895', 'osgb4000000009735350', 'osgb5000005119359439', 'osgb5000005181124389', 'osgb5000005181124397']"
664914,usrn44103947,ALDER LANE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217003', 'osgb4000000009217008', 'osgb4000000009217021', 'osgb4000000009217023', 'osgb4000000009526900', 'osgb4000000009526907', 'osgb5000005185202847', 'osgb5000005253042644']"
664915,usrn44103958,SWAN LANE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009216990', 'osgb4000000009216997', 'osgb4000000009217016', 'osgb4000000009217017', 'osgb4000000009217060', 'osgb4000000009217073', 'osgb4000000009526898', 'osgb4000000009526901', 'osgb4000000009526902', 'osgb4000000009526910', 'osgb4000000009527092', 'osgb4000000009688662', 'osgb5000005253042646']"
