,row number,USRN ID,Street Name,Authority Name,Administrative area,Town,NodeCount,Node Locations,Links
10994,519395,usrn21100103,BROADLANDS ROAD,Haringey,HARINGEY,LONDON,20,"[(54.601014, -5.287026), (54.601055, -5.286906), (54.601365, -5.286548), (54.601624, -5.286291), (54.601926, -5.286009), (54.601946, -5.285991), (54.60202, -5.285935), (54.602093, -5.285879), (54.602505, -5.285603), (54.602697, -5.285494), (54.602852, -5.285414), (54.603089, -5.285309), (54.603144, -5.285285), (54.603417, -5.285165), (54.603572, -5.285085), (54.603653, -5.28506), (54.603918, -5.284927), (54.604091, -5.284817), (54.604275, -5.284677), (54.604533, -5.284434)]","['osgb4000000030224021', 'osgb4000000030224022', 'osgb4000000030225385', 'osgb4000000030252992', 'osgb4000000030463216', 'osgb4000000031138683']"
10995,519396,usrn21100112,BROUGHTON GARDENS,Haringey,HARINGEY,LONDON,3,"[(54.613845, -5.28094), (54.613872, -5.280927), (54.613889, -5.280944), (54.613898, -5.28096), (54.613988, -5.281292), (54.613995, -5.28137), (54.613994, -5.281386), (54.613958, -5.281398), (54.613949, -5.281398), (54.613923, -5.281365), (54.613841, -5.281064), (54.613835, -5.28097), (54.613845, -5.28094), (54.613698, -5.28037), (54.613812, -5.280813), (54.613845, -5.28094)]","['osgb4000000030357556', 'osgb4000000030426572']"
10996,519397,usrn21100134,CARYSFORT ROAD,Haringey,HARINGEY,LONDON,15,"[(54.618179, -5.270629), (54.61825, -5.270681), (54.618532, -5.27089), (54.618723, -5.271138), (54.618982, -5.271515), (54.619183, -5.271748), (54.619227, -5.271767), (54.619281, -5.271756), (54.619319, -5.271712), (54.619672, -5.271291), (54.619727, -5.271249), (54.619819, -5.271179), (54.619901, -5.271139), (54.620027, -5.271119), (54.620108, -5.271125)]",['osgb4000000030101955']
10997,519398,usrn21100136,CASTLE YARD,Haringey,HARINGEY,LONDON,4,"[(54.605346, -5.288732), (54.60545, -5.288748), (54.605646, -5.288777), (54.605906, -5.288818)]","['osgb4000000030355981', 'osgb4000000030990530']"
10998,519399,usrn21100139,CAUSTON ROAD,Haringey,HARINGEY,LONDON,9,"[(54.610586, -5.288702), (54.610034, -5.289153), (54.60997, -5.289194), (54.609878, -5.289249), (54.609778, -5.289287), (54.609634, -5.289322), (54.609526, -5.289313), (54.609437, -5.289275), (54.609332, -5.289189)]",['osgb4000000030251336']
10999,519400,usrn21100172,CLAREMONT ROAD,Haringey,HARINGEY,LONDON,3,"[(54.61201, -5.285254), (54.613297, -5.285804), (54.614235, -5.286206)]","['osgb4000000030101942', 'osgb5000005209147130']"
11000,519401,usrn21100181,COLLINGWOOD AVENUE,Haringey,HARINGEY,LONDON,9,"[(54.604485, -5.263319), (54.604441, -5.263285), (54.604423, -5.263268), (54.604407, -5.263205), (54.60439, -5.263141), (54.604321, -5.260704), (54.604322, -5.260689), (54.6043, -5.25982), (54.604322, -5.25866)]",['osgb4000000030154440']
11001,519402,usrn21100183,COLWICK CLOSE,Haringey,HARINGEY,LONDON,28,"[(54.618298, -5.288472), (54.618257, -5.288198), (54.618255, -5.288066), (54.618247, -5.288019), (54.618199, -5.287798), (54.618182, -5.287766), (54.618076, -5.287711), (54.618058, -5.287694), (54.617945, -5.287545), (54.617937, -5.287529), (54.61791, -5.287527), (54.617891, -5.287541), (54.617816, -5.287674), (54.617804, -5.287687), (54.617789, -5.287695), (54.617767, -5.287698), (54.617745, -5.287697), (54.617724, -5.287694), (54.617705, -5.287687), (54.617691, -5.287679), (54.617672, -5.287663), (54.617655, -5.287639), (54.617631, -5.287593), (54.617621, -5.28756), (54.617618, -5.287552), (54.617613, -5.287543), (54.617605, -5.287536), (54.617569, -5.287499)]",['osgb4000000030251421']
11002,519403,usrn21100184,COMPTON AVENUE,Haringey,HARINGEY,LONDON,11,"[(54.595788, -5.285819), (54.595743, -5.285971), (54.595651, -5.286351), (54.595577, -5.286763), (54.595543, -5.287024), (54.59552, -5.287223), (54.595493, -5.287562), (54.595479, -5.288056), (54.595455, -5.289293), (54.595453, -5.28936), (54.595437, -5.289617)]",['osgb4000000030139361']
11003,519404,usrn21100186,CONNAUGHT GARDENS,Haringey,HARINGEY,LONDON,18,"[(54.612011, -5.268616), (54.611955, -5.26872), (54.611869, -5.268899), (54.611811, -5.269034), (54.611781, -5.269171), (54.611778, -5.269263), (54.611776, -5.269356), (54.611782, -5.269465), (54.611817, -5.269809), (54.611836, -5.270023), (54.611836, -5.270037), (54.611824, -5.271234), (54.611814, -5.271265), (54.610592, -5.271213), (54.610584, -5.271197), (54.610583, -5.270546), (54.610589, -5.269771), (54.610586, -5.269137)]","['osgb4000000030154402', 'osgb4000000030253013', 'osgb4000000030603207']"
