row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Location
13913,usrn20006720,CAMERON CLOSE,Barnet,BARNET,LONDON,"[(54.59617, -5.193125), (54.596157, -5.193325), (54.596264, -5.193365), (54.596157, -5.193325), (54.596157, -5.193325), (54.596131, -5.193633), (54.596129, -5.193679), (54.596147, -5.193712), (54.596173, -5.193717), (54.596227, -5.193733), (54.596157, -5.193325), (54.596091, -5.193331), (54.595987, -5.1933), (54.595968, -5.193294), (54.595918, -5.193315)]"
13918,usrn20006820,CANBERRA CLOSE,Barnet,BARNET,LONDON,"[(54.552725, -5.252468), (54.553026, -5.252647), (54.552725, -5.252468), (54.552775, -5.252178), (54.55263, -5.252986), (54.552725, -5.252468)]"
13920,usrn20006840,CANEY MEWS,Barnet,BARNET,LONDON,"[(54.563361, -5.301266), (54.563094, -5.301492), (54.563093, -5.301508), (54.563269, -5.301809)]"
13927,usrn20007140,CASTLE MEWS,Barnet,BARNET,LONDON,"[(54.590075, -5.217946), (54.590145, -5.218618), (54.590207, -5.218994)]"
13930,usrn20007260,CAVENDISH AVENUE,Barnet,BARNET,LONDON,"[(54.577202, -5.248042), (54.577144, -5.249214), (54.577048, -5.250769), (54.57704, -5.251063), (54.577039, -5.251109)]"
13932,usrn20007320,CECIL ROAD,Barnet,BARNET,LONDON,"[(54.613937, -5.186012), (54.614049, -5.186176), (54.614153, -5.186354), (54.614429, -5.186794), (54.614558, -5.187006), (54.614878, -5.187496), (54.615084, -5.187868), (54.615169, -5.188045), (54.615476, -5.188658), (54.615732, -5.189189), (54.615775, -5.189285), (54.616014, -5.18977)]"
13937,usrn20007440,CEDAR RISE,Barnet,BARNET,LONDON,"[(54.610852, -5.176817), (54.61058, -5.17723), (54.609871, -5.178212), (54.609787, -5.17833), (54.609722, -5.178425), (54.609675, -5.178491), (54.609554, -5.178637), (54.608945, -5.17925), (54.608797, -5.179399)]"
13938,usrn20007460,CEDARS CLOSE,Barnet,BARNET,LONDON,"[(54.56426, -5.254226), (54.564146, -5.254059), (54.564044, -5.253865), (54.563925, -5.253608), (54.563841, -5.253369), (54.563727, -5.252927), (54.563647, -5.252565), (54.563506, -5.252083), (54.56426, -5.254226), (54.564296, -5.254164), (54.564353, -5.254075), (54.564529, -5.253857), (54.564668, -5.253714), (54.564733, -5.253657), (54.564797, -5.253616), (54.564888, -5.253561), (54.564888, -5.253561), (54.564918, -5.253764), (54.56495, -5.254587), (54.56494, -5.254633), (54.56492, -5.254708), (54.564892, -5.254753), (54.564855, -5.254781), (54.564827, -5.254809), (54.564792, -5.254807), (54.564738, -5.254787), (54.56445, -5.254454), (54.564267, -5.254239), (54.56426, -5.254226), (54.563506, -5.252083), (54.563463, -5.252058), (54.563447, -5.252048), (54.563297, -5.251871), (54.563506, -5.252083), (54.563513, -5.25201), (54.563513, -5.252007), (54.563507, -5.251647), (54.564691, -5.252965), (54.564839, -5.253387), (54.564888, -5.253561)]"
13941,usrn20007555,CHALFONT COURT,Barnet,BARNET,LONDON,"[(54.545638, -5.255525), (54.545592, -5.255444), (54.545557, -5.255351), (54.54559, -5.255225), (54.545626, -5.25517), (54.54578, -5.255267), (54.545824, -5.255295), (54.545796, -5.255518), (54.545773, -5.255519), (54.545638, -5.255525), (54.545581, -5.256214), (54.545603, -5.256018), (54.545638, -5.255525)]"
13943,usrn20007580,CHALGROVE GARDENS,Barnet,BARNET,LONDON,"[(54.570923, -5.253516), (54.570738, -5.254043), (54.570707, -5.254164), (54.570673, -5.254425), (54.570598, -5.255208), (54.570551, -5.255653)]"
13944,usrn20007660,CHALTON DRIVE,Barnet,BARNET,LONDON,"[(54.590739, -5.275519), (54.590217, -5.275895), (54.59018, -5.275922), (54.589216, -5.276636), (54.588859, -5.276901)]"
13945,usrn20007680,CHAMBERLAIN ROAD,Barnet,BARNET,LONDON,"[(54.588115, -5.249159), (54.587882, -5.24945), (54.587557, -5.249852), (54.587482, -5.249944), (54.587222, -5.250264)]"
13950,usrn20007850,CHAPLIN SQUARE,Barnet,BARNET,LONDON,"[(54.59158, -5.234617), (54.591288, -5.234765), (54.590841, -5.234992), (54.590841, -5.234992), (54.590983, -5.235747), (54.590999, -5.23581), (54.591026, -5.235827), (54.591031, -5.235828), (54.59108, -5.235832), (54.591262, -5.235743), (54.591654, -5.235552), (54.591688, -5.235512), (54.591691, -5.235509), (54.591701, -5.235463), (54.591702, -5.235432), (54.591696, -5.235323), (54.59158, -5.234617), (54.590841, -5.234992), (54.590779, -5.234652), (54.590775, -5.234629), (54.590775, -5.234627), (54.59073, -5.234441), (54.591304, -5.234152), (54.591368, -5.23412), (54.591413, -5.234108), (54.591445, -5.234116), (54.591458, -5.234128), (54.591481, -5.234157), (54.591484, -5.234161), (54.591518, -5.234241), (54.59158, -5.234617)]"
13955,usrn20007980,CHATSWORTH AVENUE,Barnet,BARNET,LONDON,"[(54.559665, -5.247498), (54.559687, -5.24736), (54.559709, -5.247207), (54.559735, -5.246915), (54.559738, -5.246776), (54.559743, -5.246266), (54.559787, -5.245651), (54.559826, -5.245342), (54.559832, -5.245314), (54.559853, -5.245176), (54.559886, -5.244978), (54.559918, -5.244795), (54.559969, -5.244567), (54.559998, -5.244461)]"
13956,usrn20008007,CHELDON AVENUE,Barnet,BARNET,LONDON,"[(54.566323, -5.228895), (54.565996, -5.229015), (54.565527, -5.229187)]"
13957,usrn20008010,CHEQUERS CLOSE,Barnet,BARNET,LONDON,"[(54.542234, -5.252497), (54.541952, -5.252847), (54.542234, -5.252497), (54.542299, -5.252659), (54.542315, -5.252397), (54.542234, -5.252497)]"
13960,usrn20008080,CHESSINGTON AVENUE,Barnet,BARNET,LONDON,"[(54.574337, -5.257286), (54.574377, -5.257252), (54.574404, -5.257228), (54.574493, -5.25724), (54.574525, -5.257275), (54.574563, -5.257316), (54.57452, -5.257338), (54.574484, -5.257356), (54.574397, -5.257341), (54.574376, -5.257322), (54.574337, -5.257286), (54.570598, -5.255208), (54.571012, -5.255535), (54.571453, -5.255864), (54.571833, -5.256111), (54.572275, -5.256378), (54.572691, -5.256628), (54.572939, -5.256772), (54.573073, -5.256814), (54.573117, -5.256833), (54.573797, -5.256949), (54.573985, -5.256995), (54.574056, -5.257029), (54.574065, -5.257033), (54.574161, -5.257079), (54.57418, -5.257088), (54.574216, -5.257106), (54.574233, -5.257138), (54.574284, -5.257235), (54.574337, -5.257286)]"
13963,usrn20008260,CHEVIOT GATE,Barnet,BARNET,LONDON,"[(54.568501, -5.298742), (54.568855, -5.298956)]"
13964,usrn20008320,CHIDDINGFOLD,Barnet,BARNET,LONDON,"[(54.580167, -5.200912), (54.580638, -5.201543), (54.580638, -5.201543), (54.580625, -5.201613), (54.580624, -5.20166), (54.580632, -5.201707), (54.58068, -5.201912), (54.580998, -5.202804), (54.581015, -5.202851), (54.581038, -5.20288), (54.581077, -5.202887), (54.581123, -5.20286), (54.581335, -5.202644), (54.581706, -5.202225), (54.581706, -5.202225), (54.58139, -5.201952), (54.580984, -5.201642), (54.580782, -5.201486), (54.580764, -5.20147), (54.580728, -5.201467), (54.580683, -5.201479), (54.580655, -5.201507), (54.580638, -5.201543), (54.582234, -5.203334), (54.581924, -5.202474), (54.581855, -5.20236), (54.581812, -5.20231), (54.581706, -5.202225)]"
13968,usrn20008540,CHRISTCHURCH CLOSE,Barnet,BARNET,LONDON,"[(54.59427, -5.229744), (54.594263, -5.229889), (54.594245, -5.229944), (54.594206, -5.229982), (54.594098, -5.230032), (54.594053, -5.230037), (54.593975, -5.230007), (54.593928, -5.229949), (54.593907, -5.229857), (54.593906, -5.229764)]"
13970,usrn20008580,CHURCH CLOSE,Barnet,BARNET,LONDON,"[(54.598322, -5.202213), (54.59866, -5.203079)]"
